Wall time,Step,Value
1734523492.6378763,0,27.0
1734523528.5846324,1,53.0
1734523579.4055781,2,43.0
1734523642.3987877,3,35.0
1734523659.886013,4,33.0
1734523763.9068153,5,46.0
1734523860.2917557,6,46.0
1734523869.4671924,7,22.0
1734523926.955503,8,41.0
1734524103.2861989,9,143.0
1734524145.6203387,10,21.0
1734524223.1881683,11,51.0
1734524262.0293326,12,38.0
1734524340.4170425,13,41.0
1734524558.9006343,14,107.0
1734524572.9639313,15,13.0
1734524656.7123685,16,70.0
1734524670.6659126,17,17.0
1734524743.3907282,18,83.0
1734524762.3134906,19,15.0
1734524778.7060995,20,13.0
1734524786.6851046,21,21.0
1734524835.1769102,22,28.0
1734524850.045621,23,24.0
1734524933.0739563,24,71.0
1734525059.2027473,25,62.0
1734525120.400505,26,39.0
1734525167.9699702,27,49.0
1734525222.374361,28,79.0
1734525308.6614175,29,30.0
1734525342.3600721,30,26.0
1734525356.5922544,31,13.0
1734525571.5058007,32,137.0
1734525743.7112408,33,68.0
1734525765.0006773,34,15.0
1734525768.3971128,35,13.0
1734525874.3109047,36,111.0
1734525972.2150571,37,109.0
1734525992.1143143,38,27.0
1734526089.2944229,39,100.0
1734526104.8323512,40,22.0
1734526221.02473,41,64.0
1734526341.6497383,42,49.0
1734526395.9913301,43,81.0
1734526455.1200073,44,31.0
1734526495.1175675,45,48.0
1734526567.3536355,46,107.0
1734526592.112226,47,31.0
1734526615.161268,48,17.0
1734526747.447139,49,108.0
1734526789.3792546,50,26.0
1734526934.9473464,51,42.0
1734526947.7944539,52,33.0
1734527028.0934138,53,61.0
1734527082.5645936,54,62.0
1734527144.4882498,55,65.0
1734527188.05215,56,19.0
1734527248.9778233,57,83.0
1734527343.4045906,58,62.0
1734527379.2354395,59,31.0
1734527469.280387,60,95.0
1734527489.288245,61,27.0
1734527607.1226716,62,95.0
1734527647.9884217,63,40.0
1734527700.6380131,64,57.0
1734527730.6007028,65,33.0
1734527791.8594365,66,86.0
1734527798.0978565,67,13.0
1734527839.216299,68,48.0
1734527911.6151593,69,81.0
1734527980.0193534,70,41.0
1734528088.0072858,71,64.0
1734528094.805255,72,15.0
1734528135.150934,73,65.0
1734528141.7862568,74,17.0
1734528230.3627756,75,90.0
1734528289.1442666,76,37.0
1734528355.113356,77,83.0
1734528424.4633355,78,35.0
1734528568.8596199,79,110.0
1734528676.6659973,80,64.0
1734528778.1539145,81,82.0
1734528792.3664637,82,13.0
1734528964.4046621,83,112.0
1734528993.8769953,84,26.0
1734529060.3148994,85,48.0
